orientation;acceleration_x;acceleration_y;acceleration_z;touch_count;first_touch_finger_id;first_touch_delta_time;first_touch_tap_count;first_touch_phase;first_touch_position_x;first_touch_position_y;second_touch_finger_id;second_touch_delta_time;second_touch_tap_count;second_touch_phase;second_touch_position_x;second_touch_position_y;current_game_state;game_event;;;;;
FaceUp;0;-0.3007813;-0.9433593;0;;;;;;;;;;;;;GS_SEED;;;;;;
FaceUp;0;-0.3046875;-0.9355468;0;;;;;;;;;;;;;GS_SEED;;;;;;
FaceUp;0.0078125;-0.3066406;-0.9453124;0;;;;;;;;;;;;;GS_SEED;;;;;;
FaceUp;0.001953125;-0.3027344;-0.9335937;0;;;;;;;;;;;;;GS_SEED;;;;;;
FaceUp;0;-0.3007813;-0.9433593;0;;;;;;;;;;;;;GS_SEED;;;;;;
FaceUp;0.001953125;-0.3027344;-0.9374999;0;;;;;;;;;;;;;GS_SEED;;;;;;
FaceUp;0.0078125;-0.3105469;-0.9453124;0;;;;;;;;;;;;;GS_SEED;;;;;;
FaceUp;0.005859375;-0.296875;-0.9335937;0;;;;;;;;;;;;;GS_SEED;;;;;;
FaceUp;0.01171875;-0.3066406;-0.9374999;0;;;;;;;;;;;;;GS_SEED;;;;;;
FaceUp;0;-0.3027344;-0.9335937;0;;;;;;;;;;;;;GS_SEED;;;;;;
FaceUp;0.005859375;-0.3066406;-0.9335937;0;;;;;;;;;;;;;GS_SEED;;;;;;
FaceUp;0.005859375;-0.2988281;-0.9414062;0;;;;;;;;;;;;;GS_SEED;;;;;;
FaceUp;0.0078125;-0.3027344;-0.9355468;0;;;;;;;;;;;;;GS_SEED;;;;;;
FaceUp;0.005859375;-0.3027344;-0.9374999;0;;;;;;;;;;;;;GS_SEED;;;;;;
FaceUp;0.009765625;-0.3046875;-0.9374999;0;;;;;;;;;;;;;GS_SEED;;;;;;
FaceUp;0.00390625;-0.3027344;-0.9394531;0;;;;;;;;;;;;;GS_SEED;;;;;;
FaceUp;0.001953125;-0.3027344;-0.9277343;0;;;;;;;;;;;;;GS_SEED;;;;;;
FaceUp;0.009765625;-0.3027344;-0.9492187;0;;;;;;;;;;;;;GS_SEED;Good;seed;landing;;;
FaceUp;0.00390625;-0.3085938;-0.9335937;0;;;;;;;;;;;;;GS_ISLAND;;;;;;
FaceUp;0.0078125;-0.3007813;-0.9374999;0;;;;;;;;;;;;;GS_ISLAND;;;;;;
FaceUp;0.00390625;-0.3046875;-0.9374999;0;;;;;;;;;;;;;GS_ISLAND;;;;;;
FaceUp;0.009765625;-0.2988281;-0.9492187;0;;;;;;;;;;;;;GS_ISLAND;;;;;;
FaceUp;0.009765625;-0.3085938;-0.9374999;0;;;;;;;;;;;;;GS_ISLAND;;;;;;
FaceUp;0.0234375;-0.2988281;-0.9414062;0;;;;;;;;;;;;;GS_ISLAND;;;;;;
FaceUp;0.01757813;-0.2929687;-0.9414062;0;;;;;;;;;;;;;GS_ISLAND;;;;;;
FaceUp;0.08984375;-0.3066406;-0.9121094;1;0;0.03333334;1;Began;452.2311;107.877;;;;;;;GS_ISLAND;;;;;;
FaceUp;0.04882812;-0.2636718;-0.9511718;0;;;;;;;;;;;;;GS_ISLAND;;;;;;
FaceUp;0.03320312;-0.2910156;-0.9472656;0;;;;;;;;;;;;;GS_ISLAND;;;;;;
FaceUp;0.03515625;-0.2753906;-0.9472656;0;;;;;;;;;;;;;GS_ISLAND;;;;;;
FaceUp;0.03515625;-0.2929687;-0.9355468;0;;;;;;;;;;;;;GS_ISLAND;;;;;;
FaceUp;0.08398438;-0.2773438;-0.8945313;0;;;;;;;;;;;;;GS_ISLAND;;;;;;
FaceUp;0.1015625;-0.2675781;-0.9570312;0;;;;;;;;;;;;;GS_ISLAND;;;;;;
FaceUp;0.09179687;-0.2246094;-0.9589843;0;;;;;;;;;;;;;GS_ISLAND;;;;;;
FaceUp;0.08007812;-0.21875;-0.90625;0;;;;;;;;;;;;;GS_ISLAND;;;;;;
FaceUp;0.09960937;-0.2148437;-0.9374999;0;;;;;;;;;;;;;GS_ISLAND;;;;;;
